ts_code,freq,quantile,pct_gain_1p,pct_gain_2p,pct_gain_3p,pct_gain_5p,pct_loss_1p,pct_loss_2p,pct_loss_3p,pct_loss_5p,top_or_bottom,period
000001.SH,D,0.5,3.83,5.73,6.84,9.28,-2.67,-4.74,-6.08,-8.07,B,34
000001.SH,D,0.75,7.93,12.24,17,23.16,-0.33,-1.14,-1.67,-2.54,B,34
000001.SH,D,0.9,15.534,25.626,36.154,53.978,0,0,0,0,B,34
000001.SH,D,0.1,0,0,0,0.12,-13.22,-19.9,-22.92,-28.44,T,34
000001.SH,D,0.25,0.33,0.99,1.61,2.7,-7.63,-10.94,-13.16,-17.7,T,34
000001.SH,D,0.5,2.4,4.41,5.33,7.72,-4.16,-6.12,-7.43,-9.49,T,34
000001.SH,D,0.75,6.02,10.04,14.41,20.6,-1.62,-2.38,-2.97,-3.92,T,34
000001.SH,D,0.9,12.32,23.17,34.44,52.64,-0.41,-0.64,-0.77,-1.14,T,34
000001.SZ,D,0.1,0.439,0.789,1.129,1.509,-14.86,-21.373,-26.01,-32.43,B,34
000001.SZ,D,0.25,2.02,3.12,3.805,5,-8.565,-13.9075,-17.92,-24.5775,B,34
000001.SZ,D,0.5,5.605,7.85,9.8,13.945,-3.815,-7.16,-9.595,-13.6,B,34
000001.SZ,D,0.75,11.8775,18.6325,24.37,35.6925,-0.695,-1.8325,-2.775,-4.0025,B,34
000001.SZ,D,0.9,22.007,36.864,49.428,76.351,0,0,0,-0.12,B,34
000001.SZ,D,0.1,0,0,0,0,-17.04,-23.51,-27.83,-34.49,T,34
000001.SZ,D,0.25,0.11,0.815,1.635,2.83,-10.645,-15.855,-20.035,-26.13,T,34
000001.SZ,D,0.5,3.32,5.77,7.3,10.8,-5.85,-9.03,-11.36,-15.51,T,34
000001.SZ,D,0.75,9.335,15.715,21.92,32.66,-2.65,-4.035,-4.735,-6.23,T,34
000001.SZ,D,0.9,18.82,33.66,45.02,65.45,-0.92,-1.44,-1.77,-2.25,T,34
000002.SZ,D,0.1,0.7,1.08,1.423,2.149,-16.206,-22.841,-27.681,-34.689,B,34
000002.SZ,D,0.25,2.97,4.4875,5.34,7.755,-9.84,-14.7025,-18.5325,-24.055,B,34
000002.SZ,D,0.5,7.435,11.055,14.265,18.85,-3.985,-7.395,-9.84,-13.445,B,34
000002.SZ,D,0.75,14.41,22.3025,29.13,46.0575,-0.49,-1.85,-2.59,-3.96,B,34
000002.SZ,D,0.9,26.887,43.378,60.427,90.809,0,0,0,0,B,34
000002.SZ,D,0.1,0,0,0,0,-19.294,-24.988,-29.511,-36.847,T,34
000002.SZ,D,0.25,0.1775,1.8225,2.6875,4.9475,-12.0525,-17.195,-20.96,-26.2725,T,34
000002.SZ,D,0.5,4.225,7.935,11.115,15.83,-6.725,-9.875,-12.32,-15.605,T,34
000002.SZ,D,0.75,11.43,19.05,25.0925,43.15,-2.98,-4.0375,-5.17,-6.9125,T,34
000002.SZ,D,0.9,24.065,39.755,58.007,84.484,-1.023,-1.54,-1.963,-2.373,T,34
000004.SZ,D,0.1,0.864,1.557,2.254,3.397,-20.102,-29.74,-35.739,-43.489,B,34
000004.SZ,D,0.25,3.6725,5.615,7.6025,11.33,-12.39,-18.6,-22.9375,-30.07,B,34
